"EZ_ID","pop","N"
1,1465.79541601101,444
2,1488.86189511418,307
3,1048.67793524265,132
4,1006.00949069113,301
5,954.669029545505,915
6,1135.27722316678,1509
7,988.822491472587,214
8,1107.38423931599,129
9,1025.09726862609,158
10,695.69447084819,921
11,0,1
12,133.518369913101,484
13,86.2799317906611,137
14,853.208873316646,363
15,1108.95110739255,504
16,1490.0582129797,383
17,1092.29475892056,367
18,0,1
19,0,19
20,0,1
21,0,1
22,0.877810001373291,1
23,3.23271696269512,33
24,1038.83275069296,174
25,35.7398371580057,1452
26,0,38
27,1353.30377674522,371
28,1007.69923933735,380
29,2.06944405287504,14
30,1132.15688368538,2639
31,0.274017002433538,32
32,941.73633240955,2340
33,240.856323259883,2386
34,0,449
35,0,15
36,1437.45196902845,1532
37,0,155
38,0.0432200003415346,39
39,0.409697003662586,356
40,0,38
41,0,2
42,1241.57521216944,232
43,954.803824604955,1840
44,1165.67507010698,239
45,0,2
46,0,1
47,1472.76366682211,2778
48,1.5963130062446,816
49,0,1
50,1437.17201213446,896
51,977.42606626451,466
52,1054.38508727588,474
53,1037.30978659354,280
54,1012.58563795686,570
55,188.543356265873,3094
56,0.811109006404877,1964
57,0,1988
58,1476.594509352,1879
59,1217.30256269127,625
60,1203.72894882923,1045
61,1214.51268576086,620
62,45.789029089734,2630
63,112.060995906591,3674
64,0,1
65,0,1
66,0,2048
67,0,3286
68,0,2013
69,1515.36782753516,1421
70,35.3440853358334,1196
71,887.369089998305,656
72,0,116
73,910.246630091919,721
74,112.01771267131,1313
75,66.4695859849453,1751
76,79.0940299704671,633
77,1255.44659029716,1604
78,927.251153551042,130
79,1022.62603402138,290
80,1625.7100490965,664
81,867.986216306686,102
82,759.942750513554,122
83,853.07145718066,2927
84,0,30
85,2.28356598317623,2537
86,9.68361106514931,2267
87,1202.9863896668,299
88,1490.75235327461,766
89,575.066091446206,1708
90,22.6695620380342,2411
91,171.851938350126,1920
92,0,2410
93,0,1892
94,664.781792476773,305
95,1430.0841189324,1226
96,1184.42831856385,260
97,1248.8266026238,175
98,1241.3691235818,136
99,735.833475203952,2430
100,8.96489097177982,309
101,1008.31441385951,143
102,1067.47589494009,386
103,1068.62170333415,623
104,22.7829081490636,966
105,0,1
106,875.049674096517,593
107,867.38344304217,2374
108,14.5566559880972,2889
109,0.260910004377365,663
110,238.246856752783,1166
111,226.88296770677,516
112,615.0169615997,2677
113,277.228467047215,2141
114,889.057113873772,2127
115,0,2038
116,0,2832
117,147.840713066049,2742
118,0,2091
119,642.256846707314,516
120,0.26494599878788,722
121,0,2497
122,946.137721128762,433
123,850.729298248887,513
124,24.0049251057208,1476
125,0,2446
126,1520.91694369726,1015
127,76.7664599493146,278
128,978.734581049532,404
129,873.920304221101,569
130,76.4569989070296,2206
131,0,2282
132,0,3112
133,0,2234
134,894.460318334866,2069
135,0.912658989429474,2062
136,0,2221
137,231.845906108618,3733
138,0,27
139,441.132096804678,3559
140,0,3475
141,0,2439
142,0,2986
143,0,2098
144,0,2052
145,1171.39922334999,1069
146,994.985015673563,951
147,203.046129495371,2463
148,0,2283
149,1114.51383879222,937
150,1119.73975391593,402
151,1099.55036675045,658
152,3.35327598452568,2070
153,0,42
154,0,1
155,1232.45649702195,744
156,262.335636772215,1326
157,1419.50029376335,3253
158,3.78028202801943,2170
159,626.634521171451,3345
160,213.655611462891,1131
161,0,2994
162,0,2950
163,0,2597
164,0,3107
165,6.60217206925154,2500
166,0,1928
167,0,2810
168,0,2016
169,0,2049
170,448.762842543889,3285
171,889.048123655841,747
172,907.343116402626,648
173,928.469661682844,212
174,26.6344579830766,2464
175,446.542544830125,3693
176,0,3637
177,0,2447
178,0,2038
179,0,2410
180,1314.81455203146,539
181,1259.10340065788,1771
182,1246.89564507362,1227
183,0,3098
184,1.307587005198,2109
185,0,2424
186,0,2455
187,965.887338277884,662
188,900.101722352207,446
189,137.635649920907,1526
190,0,3650
191,1191.58952462673,103
192,1047.92678461969,98
193,2.30356301367283,6
194,1565.57830142975,68
195,1162.41065422539,109
196,892.880381315947,67
197,1173.30728828907,122
198,1099.27307319641,55
199,1293.17948781699,111
200,1113.20939453691,171
201,1081.81206353474,301
202,1231.2113609314,140
203,165.153432753403,1197
204,916.812422856688,140
205,1421.24831989408,133
206,1035.84575080872,52
207,861.225478649139,39
208,1012.05459085107,168
209,1314.90500557423,88
210,955.803163051605,56
211,1319.99332952499,69
212,1014.83822783828,80
213,1177.40831133723,64
214,1083.98479104042,80
215,1148.18528175354,47
216,1422.10126829147,79
217,1263.31364870071,76
218,950.812269210815,38
219,924.594543635845,84
220,986.727211491205,136
221,999.577560315374,131
222,1164.41932916641,81
223,1059.83696317999,258
224,1061.59834093589,393
225,1081.71988725662,48
226,1205.30963516235,56
227,991.604259967804,77
228,1033.23144435883,49
229,119.479707270861,39
230,477.661654558964,2957
231,733.070209264755,305
232,0,1
233,401.669526670128,266
234,125.938524097204,91
235,868.046405009925,692
236,753.648740628734,249
237,1007.59345323779,388
238,861.30738545279,1305
239,806.218919433653,194
240,899.533751717769,646
241,1009.53297767416,197
242,1044.39837831724,2767
243,99.8996549453586,2529
244,0,736
245,0,3
246,0,432
247,1082.82417824864,193
248,1054.31617158698,305
249,794.349730014801,115
250,1015.16753053665,114
251,1204.85960626882,367
252,1047.50330449641,197
253,1250.30328917503,107
254,1116.36114765704,146
255,1091.59522886667,1570
256,1565.38022975344,158
257,1040.24870073795,118
258,1290.14497244591,383
259,1231.96170946024,1426
260,1354.23813788965,419
261,612.125938274898,2101
262,891.952357218601,776
263,1411.5682868287,326
264,115.697939224541,2120
265,865.1011877805,105
266,1336.69659247436,252
267,953.238588690758,117
268,1013.22591119632,248
269,1195.40872216225,103
270,1110.82550384011,731
271,379.227130237967,316
272,1150.40873625269,1808
273,1089.41427538753,686
274,1037.63038987108,1019
275,1019.11472385563,2184
276,459.203188427724,3016
277,933.009289700538,1224
278,1022.72971131839,527
279,599.118062444031,2314
280,137.546406529844,2709
281,0,1
282,850.542582422495,110
283,962.494740670547,322
284,1410.88002204895,116
285,1037.65727099776,539
286,1145.15789411869,133
287,1468.63055832684,160
288,1624.73260951042,86
289,561.393139709719,2218
290,2.71090999245644,1766
291,857.482354290783,169
292,2250.41743859462,137
293,986.072392702103,57
294,1397.26683152467,105
295,1170.5851790905,93
296,1350.2793186754,93
297,1009.95249652863,39
298,1086.85636755824,78
299,919.542365312576,50
300,1079.63303545862,133
301,1068.6975697279,81
302,1178.93053650856,104
303,1239.48734664917,99
304,51.5088698863983,5
305,896.615855961107,460
306,1020.0341848731,81
307,903.10217125481,462
308,865.504714161158,117
309,990.779914855957,64
310,843.001483246684,111
311,938.90597499162,216
312,482.456353663001,2404
313,1246.8599485429,1212
314,231.173551336396,2855
315,616.815865710378,246
316,1012.37841477268,2480
317,0,1
318,77.8282770514488,135
319,36.2792331539094,982
320,930.525613118196,1375
321,0,1
322,925.154272105545,1822
323,149.810771211516,1824
324,0,74
325,369.676610855851,1347
326,823.963393371785,1572
327,0,1
328,1042.31602779625,1785
329,1026.56519746594,1165
330,98.4827700555325,2183
331,16.8080739271827,2150
332,1.99357599765062,2054
333,0,3562
334,0,3514
335,1474.84261552524,2207
336,298.041063451208,1468
