"EZ_ID","pop","N"
148,68.8768308851868,12
149,44.9442028999329,4
150,83.4963736534119,4
151,92.8523101806641,3
152,115.335124969482,2
153,47.0725010894239,8
154,53.5145276784897,8
155,122.791309356689,6
156,85.8889245986938,3
157,87.7529674172401,10
158,63.1918513774872,4
159,69.9266958236694,10
160,60.6921732928604,15
161,37.5880088806152,2
162,121.37720489502,2
163,65.2558689117432,3
164,65.7915153503418,3
165,102.229671478271,2
166,52.3218231201172,1
167,50.5791909899563,111
168,78.2732241954654,37
169,94.7377834562212,80
170,16.0265048090369,104
171,33.1701464373618,88
172,8.68740431964397,79
173,18.0333887189627,86
174,32.4208027534187,118
175,68.7911278791726,28
176,59.7280114628375,57
177,3.37813574075699,86
178,44.0834679864347,78
179,40.0019838213921,74
180,18.4708074778318,85
181,29.2033765912056,109
182,12.9838171005249,3
183,40.6476392745972,3
184,76.7169316783547,11
185,93.6784189343452,9
186,106.995344117284,6
187,66.3825503364205,6
188,55.860017105937,8
189,54.8495754301548,47
190,52.8679378628731,15
191,79.0367104969919,47
192,67.8389790281653,18
193,79.99912587367,14
194,70.9469608068466,8
195,88.3683728128672,16
196,72.5009509623051,23
197,79.0095904413611,40
198,66.8285373598337,7
199,92.9215857386589,12
200,79.8388479650021,12
201,85.6227555274963,6
202,67.1281851530075,12
203,76.4242523163557,8
204,95.6435526013374,8
205,67.4766149967909,13
206,53.8809448387474,12
207,51.2886369042099,45
208,51.6231293529272,12
209,87.8945071697235,6
210,67.8459483236074,12
211,72.1037434116006,20
212,94.0059404373169,8
213,63.6369366645813,4
214,83.3231308460236,6
215,49.4140944480896,4
216,53.5882657542825,6
217,65.490571975708,3
218,114.069340383634,6
219,52.5360107719898,9
220,76.1803520694375,9
221,55.1701290756464,12
222,104.967491149902,3
223,62.521963596344,5
224,111.789718404412,6
225,84.8283401504159,6
226,55.3234377801418,17
227,82.2360343933105,8
228,92.1941131651402,8
229,80.2708999663591,18
230,21.3098714351654,3
231,73.0863105356693,8
232,107.260152578354,6
233,41.0518159866333,2
234,30.4944400787354,3
235,92.145336151123,3
236,75.3162508010864,3
237,74.912073135376,2
238,48.5778665542603,3
239,55.2119407653809,3
240,52.3827010896057,44
241,57.9505858421326,7
242,50.6475313901901,3
243,64.4940677881241,36
244,60.3895845413208,3
245,98.7724400013685,51
246,15.9440768659115,112
247,21.1426263898611,24
248,5.50911344401538,111
249,0,80
250,0,100
251,0.354272052645683,102
252,33.6651376392692,100
253,26.5920433998108,100
254,0,127
255,0,113
256,0,110
257,0,139
258,93.1348699778318,74
259,75.7761759757996,3
260,73.4417056590319,5
261,131.761631011963,2
262,68.835484277457,49
263,83.5879363119602,19
264,99.6853246688843,8
265,88.215065062046,15
266,62.4244066774845,4
267,48.8008607923985,26
268,51.936714425683,3
269,68.7588305082172,11
270,88.256875038147,3
271,63.9017411023378,60
272,59.3930778503418,2
273,0,130
274,67.3860233426094,21
275,78.9956520348787,45
276,39.4629831314087,2
277,71.3790092468262,2
278,29.4073438644409,2
279,26.4875151216984,16
280,0.299648284912109,77
281,1.58551263809204,108
282,61.2676554825157,46
283,8.60617733001709,98
284,0.791509807109833,89
285,1.61468005180359,123
286,0,109
287,0,101
288,0,147
289,0.785177748650312,98
290,0,100
291,0,90
292,0,113
293,0,75
294,0,115
295,0,95
296,0,90
297,0,135
298,11.8283228650689,94
299,8.56730234622955,100
300,0,77
301,0,80
302,0,100
303,0,100
304,78.9040294252336,100
305,0,100
306,0,78
307,0,100
308,0,100
309,83.0578732192516,100
310,63.1371545903385,90
311,5.08465902134776,99
312,0,99
313,0,91
314,0,100
315,0.0189962349832058,100
316,91.1312730759382,70
317,6.75632753968239,119
318,50.3653516769409,137
319,24.7900869846344,100
320,34.6301373541355,40
321,1.60201585292816,139
322,63.3397791832685,50
323,0,77
324,0,129
325,65.7902945391834,100
326,57.3433011062443,60
327,0,100
328,0,84
329,0,116
330,14.2598410844803,139
331,79.0053433328867,100
332,8.45332431793213,100
333,0.19629442691803,100
334,92.9802411496639,24
335,64.9101349338889,50
336,65.3787093348801,100
337,0,82
338,64.2515988796949,9
339,93.8350712805986,50
340,48.1111319363117,9
341,68.8423571884632,15
342,84.8941766619682,8
343,0.423136334866285,3
344,3.7013293504715,8
345,95.0318334810436,10
346,87.7689395397902,30
347,56.1022145748138,9
348,57.1596732214093,24
349,79.4295941404998,10
350,51.2201814651489,4
351,99.046369958669,50
352,72.0400557629764,25
353,84.9828262329102,4
354,95.7536888122559,6
355,61.4908126741648,16
356,35.795238494873,2
357,37.6252101957798,10
358,93.3728289008141,16
359,80.4617198109627,8
360,55.7982752285898,20
361,27.5572056509554,24
362,66.9237355440855,10
363,71.0839110612869,90
364,101.933798842132,60
365,102.104765731841,121
366,77.1183831989765,56
367,57.9891746789217,10
368,55.0700855851173,6
369,98.7487643063068,8
370,56.8494000434875,10
371,66.3031934499741,12
372,58.0904875993729,7
373,49.8397899866104,8
374,63.89700422436,35
375,47.6425583511591,6
376,125.064882326871,20
377,44.2865571938455,24
378,67.3163243345916,30
379,74.332268923521,16
380,8.92823028564453,1
381,66.9174050651491,60
382,65.3850412368774,10
383,74.5982146300375,24
384,74.4779076576233,5
385,71.4005142450333,4
386,66.284197088331,12
387,82.4626569747925,4
388,74.5982145816088,6
389,64.4035682678223,10
390,89.0923446826637,21
391,79.1699753552675,13
392,11.416737228632,109
393,13.7975987456739,80
394,0,79
395,20.230990614742,80
396,0,80
397,0,89
398,0,96
399,0,80
400,0,106
401,0,149
402,0,117
403,0,141
404,0,84
405,0,100
406,9.03284671902657,92
407,0.155892327427864,106
408,0,119
409,2.53881788253784,115
410,77.4428555630147,124
411,70.5568678565323,50
412,134.55735181272,15
413,91.593423128128,6
414,65.9469076506793,7
415,0,69
416,0.102443527430296,17
417,91.179195523262,6
418,64.1652827560902,25
419,113.378264974803,8
420,59.902740739286,15
421,55.0210834592581,11
422,62.6553534865379,31
423,57.0877716317773,50
424,58.0765736401081,25
425,57.2303018532693,20
426,63.6530655622482,24
427,54.7627487182617,3
428,44.322416856885,16
429,8.89922463987023,6
430,77.6432876586914,6
431,92.6980341523886,7
432,65.149631947279,12
433,79.9594020843506,3
434,53.1794160939753,104
435,91.3373760282993,4
436,68.3937521576881,30
437,92.8326112776995,12
438,18.2098135948181,2
439,51.4115676879883,40
440,93.4020233154297,1
441,43.3389854431152,1
442,48.93771225214,12
443,41.8695504665375,10
444,95.5131673812866,3
445,27.351921081543,3
446,62.9996311217546,10
447,62.5997228622437,3
448,79.7028102874756,2
449,61.3162933588028,3
450,74.5783956646919,8
451,97.075602889061,5
452,89.3099308013916,2
453,72.5974502563477,4
454,66.0593996047974,3
455,61.7813014984131,2
456,33.629563331604,2
457,126.138765409589,20
458,46.4545550346375,4
459,71.4334279745817,18
460,76.6430432498455,2
461,59.5957536678761,16
462,83.2740898132324,24
463,86.8732748031616,2
464,74.8294982910156,2
465,107.956851959229,2
466,9.09560680389404,1
467,34.7362880706787,2
468,69.3423754572868,4
469,62.9438289552927,4
470,69.4353760629892,11
471,104.022866249084,2
472,27.2031173110008,2
473,147.864055633545,3
474,31.6207180023193,2
475,30.0210818052292,42
476,41.6463452130556,107
477,0,138
478,0,104
479,0,80
480,84.7621231079102,146
481,0,100
482,0,98
483,0,127
484,48.8819092642516,88
485,27.2496185302734,100
486,0,100
487,0,100
488,0,100
489,0,100
490,0,83
491,11.290456533432,96
492,75.6851212233305,36
493,19.2700381577015,100
494,8.12838450074196,100
495,50.3420433551073,100
496,0,100
497,0,115
498,5.1058157980442,113
499,0,100
500,0,100
501,30.579094318673,100
502,21.9298986941576,100
503,0,125
504,0,90
505,0.167403800413013,74
